up 上面的，向上的
west 西部的，朝西的
western 西部的，西方的

请描述类形容词
big 大的
broad 宽的，宽大的
fat 胖的，肥的；胖的；脂肪
flat 平的，扁平的；平的；公寓
high 高的，高度的；高的
huge 巨大的，庞大的
large 大的，巨大的；大的
long 长的，长远的；长的
low 低的，矮的；低的
narrow 狭窄的
rectangle 长方形的
round 圆的，球形的；圆的；轮次
sharp 锋利的，尖的
short 短的，矮的；短的；矮的
slight 轻微的，细小的
slim 苗条的，纤细的
small 小的，少的；小的
square 平方的，方形的；广场；正方形
steep 险峻的，陡峭的
stout 肥壮的，厚实牢固的
straight 笔直的，直的
tall 高的
thick 厚的
thin 薄的，瘦的；瘦的；薄的
triangle 三角形的
vast 巨大的，广阔的
wide 宽阔的；宽的

味觉形容词
acid 酸的
bitter 有苦味的
juicy 多汁的，水分多的
raw 生的，未加工的
salty 咸的，含盐的
smelly 有臭味的，发出臭味的
sour 酸的，馊的
tasteless 无滋味的
tasty 味道好的
thirsty 渴的，口渴的
yummy 很好吃的

表示数量的形容词
absolute 完全的，绝对的
ample 足够的，丰裕的
all 全部的，所有的；全部；所有
another 再一，另一，别的；另一个
both 两，双；两者都
double 两倍，双的
each 每个，每件；每个
either 二者之一的；两者之一；也
else 别的；其他；另外
enough 足够的，充分的；足够的
entire 整个的，全部的
every 每一，每个的；每个；每一
extra 额外的，外加的
few 不多的，少数的；很少；几个
half 一半，半个
little 小的，少的；小的；少量
many 许多的；许多
maximum 最大量的，最大限度的
minimum 最小的
minus 负的，减去的
much 许多的，大量的；许多；非常
multiple 复合的，多重的
neither （两者）都不，也不；两者都不
no 没有，无
other 别的，另外的；其他的
several 若干
single 单一的，单个的；单个的；单身的
some 一些，若干；一些；某些
such 这样的，那样的
that 那，那个；那；那个
these 这些
this 这，这个；这；这个
those 那些
unique 唯一的，独一无二的
universal 普遍的，全体的
which 这个，这些
whole 整个的

无比较级，最高级的形容词
amateur 业余爱好的，业余的
centigrade 摄氏的
chief 主要的，首要的
civil 国内的，民用的
communist 共产党的，共产主义的
correct 正确的，对的；正确的
dead 死的，无生命的；死的
due 预期的，约定的
extreme 极度的，极端的
female 女的，雌性的
folk 民间的
foreign 外国的
former 以前的，前者的（两者）
human 人的，人类的；人；人类的
indeed 确实的，实在的
international 国际的
junior 初级的，年少的；初级的；年少的
last 最后的，最近刚过去的；持续；最后的
live 活着，实况的；居住；生活
main 主要的
major 较大的
male 男的，雄的
next 最近的，隔壁的
open 开着的，开的；打开；开放的
own 自己的
past 过去的；经过
perfect 完美的，极好的；完美的
recent 近来的，最近的；最近的
same 同样的，相同的；相同的
senior 年长的，资深的
socialist 社会主义的
solar 太阳的
super 顶好的，超级的
superb 卓越的，一流的
superior 优秀的，上等的
supreme 至高无上的，最高的
upper 较高的，较上的
urban 城市的，都市的
worth 有…价值的,值得…的
wrong 错误的，有毛病的；错误的

物质材料形容词
gold 金的，黄金的；黄金；金色的
liquid 液体的
nuclear 原子能的，核动力的
wooden 木制的
woolen 羊毛的，羊毛制的

心理描写形容词
awkward 令人尴尬的，使人难堪的
certain 确定的，无疑的
content 满足的，满意的
cruel 残忍的；残酷的；无情的
brave 勇敢的
eager 渴望的；热切的
gentle 温柔的；轻轻的；温和的
glad 高兴地乐意的
just 公正的；刚才；只是
kind 善良的；友好的；种类
modest 谦虚的；谦逊的
sad （使人）悲伤的；悲伤的
secure 安全的；牢靠的
selfish 自私的
tense 心烦意乱的紧张的
vain 自负的；徒劳的无效的

人物特征描写形容词
bare 裸露的；光秃秃的
blank 茫然无表情的空的；空白的
blind 瞎的；失明的
clever 聪明的；伶俐的
corrupt 贪污的；腐败的
deaf 聋的
foolish 愚蠢的；傻的
honest 诚实的；正直的
lame 破的瘸的；残废的
loud 大声的
mad 发疯的；生气的
mature 成熟的；心智成熟的
numb 麻木的失去知觉的迟钝的
old 老的；旧的
plain 简朴的；朴素的；家常的；普通的
polite 有礼貌的；有教养的
poor 贫穷的；可怜的；不好的；差的
proud 自豪的；骄傲的
rich 富裕的；有钱的；富有的；丰富的
rigid 死板的；僵硬的；固执的
rude 粗野的；粗鲁的；无礼的
strange 奇怪的；奇特的陌生的；陌生的
strict 严格的；严密的
strong 强（壮）的强烈的；强壮的
stubborn 固执的；倔强的
sick 有病的；患病的（想）呕吐的；生病的
smart 灵巧的；伶俐的；帅的
stupid 愚蠢的；笨的
weak 差的；弱的；淡的；虚弱的
welcome 受欢迎的；欢迎
well 好的；健康的
wise 聪明的英明的有见识的
young 年轻的

叙事，状物类形容词
abrupt 突然的；意外的；唐突的
abstract 抽象的
absurd 荒谬的；怪诞不经的
acute 十分严重的；（病）急性的
average 平均的普通的
bad 坏的；有害的；不利的
brief 简洁的
bright 明亮的；聪明的
cheap 便宜的；贱的
clean 清洁的干净的；打扫；干净的
clear 清楚地；清晰地；明亮的；清楚的
close 亲密的；近的；靠近的；关闭
common 普通的一般的；共有的；普通的；共同的
complete 圆满的；完成；完整的
complex 复杂的
concrete 以物质形式存在的；具体的
dear 亲爱的；贵的；昂贵的
deep 深；深的
difficult 难的；艰难的；不易相处的；困难的
direct 直接的；直达的
diverse 不同的；变化多的
dull 阴暗的；单调无味的
exact 精确的；确切的
explicit 清楚明白的；易于理解的
familiar 熟悉的
far 远的
fast 快；迅速的紧密的；快的
fierce 猛烈的
firm 坚固的；坚定的
fragile 易碎的；易损的
free 空闲的；免费的；自由的
fresh 新鲜的
full 满的；充满的；完全的；饱的
good 好的；良好的
grand 宏伟的
great 伟大的；重要的好极了的；很棒的
hard 硬；困难的；艰难的；努力的
loose 松散的；宽松的
modern 现代的
neat 整洁的；整齐的
new 新的；新鲜的
nice 令人愉快的；美好的；好的
particular 特殊的；个别的
popular 流行的；大众的；受欢迎的
precise 准确的；精确的；确切的
proper 恰当的；合适的
pure 纯的不掺杂的
quick 快；敏捷的；快的
quiet 安静的寂静的
random 随意的任意的
rapid 快；迅速的；快速的
rare 罕见的；稀有的
real 真实的；确实的
regular 有规则的；有规律的
